Name,Fibered,Crossing Number,Genus-3D,Arc Index,Grid Notation
11n_107,Y,11,4,10,[[1;5];[1;8];[2;2];[2;6];[3;4];[3;9];[4;7];[4;10];[5;1];[5;8];[6;5];[6;9];[7;6];[7;10];[8;3];[8;7];[9;2];[9;4];[10;1];[10;3]]
11n_110,Y,11,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;6];[4;9];[5;3];[5;8];[6;7];[6;10];[7;1];[7;9];[8;5];[8;10];[9;4];[9;8];[10;2];[10;6]]
11n_111,Y,11,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;5];[5;10];[6;1];[6;9];[7;6];[7;10];[8;2];[8;8];[9;4];[9;7];[10;6];[10;9]]
11n_116,Y,11,2,10,[[1;6];[1;9];[2;7];[2;10];[3;4];[3;9];[4;2];[4;8];[5;5];[5;10];[6;1];[6;6];[7;4];[7;8];[8;3];[8;7];[9;2];[9;5];[10;1];[10;3]]
11n_133,Y,11,4,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;6];[4;9];[5;7];[5;10];[6;1];[6;8];[7;5];[7;9];[8;3];[8;6];[9;4];[9;10];[10;2];[10;7]]
11n_135,Y,11,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;8];[4;1];[4;6];[5;7];[5;10];[6;4];[6;9];[7;5];[7;8];[8;6];[8;10];[9;2];[9;7];[10;5];[10;9]]
11n_142,Y,11,2,10,[[1;2];[1;8];[2;5];[2;9];[3;7];[3;10];[4;1];[4;8];[5;6];[5;9];[6;4];[6;7];[7;5];[7;10];[8;3];[8;6];[9;2];[9;4];[10;1];[10;3]]
11n_143,Y,11,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;9];[5;1];[5;6];[6;5];[6;10];[7;4];[7;8];[8;7];[8;9];[9;2];[9;8];[10;6];[10;10]]
11n_145,Y,11,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;6];[5;10];[6;1];[6;9];[7;5];[7;10];[8;2];[8;8];[9;4];[9;7];[10;6];[10;9]]
11n_147,Y,11,4,10,[[1;1];[1;3];[2;2];[2;6];[3;4];[3;7];[4;5];[4;10];[5;1];[5;8];[6;6];[6;9];[7;3];[7;7];[8;4];[8;10];[9;2];[9;8];[10;5];[10;9]]
11n_164,Y,11,3,10,[[1;2];[1;7];[2;4];[2;8];[3;6];[3;10];[4;1];[4;7];[5;5];[5;9];[6;8];[6;10];[7;3];[7;6];[8;4];[8;9];[9;2];[9;5];[10;1];[10;3]]
11n_173,Y,11,4,10,[[1;1];[1;4];[2;2];[2;6];[3;3];[3;8];[4;5];[4;10];[5;1];[5;6];[6;4];[6;9];[7;7];[7;10];[8;2];[8;8];[9;5];[9;9];[10;3];[10;7]]
11n_183,Y,11,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;3];[4;7];[5;6];[5;9];[6;1];[6;8];[7;5];[7;10];[8;2];[8;7];[9;4];[9;9];[10;6];[10;10]]
12n_25,Y,12,2,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;6];[4;10];[5;3];[5;9];[6;1];[6;8];[7;7];[7;10];[8;5];[8;9];[9;4];[9;8];[10;2];[10;6]]
12n_121,Y,12,2,10,[[1;5];[1;8];[2;6];[2;9];[3;7];[3;10];[4;2];[4;8];[5;4];[5;9];[6;5];[6;10];[7;1];[7;6];[8;3];[8;7];[9;2];[9;4];[10;1];[10;3]]
12n_280,Y,12,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;8];[4;5];[4;10];[5;1];[5;7];[6;4];[6;9];[7;6];[7;10];[8;5];[8;8];[9;2];[9;7];[10;6];[10;9]]
12n_285,Y,12,3,10,[[1;1];[1;3];[2;2];[2;4];[3;3];[3;8];[4;1];[4;6];[5;5];[5;9];[6;7];[6;10];[7;4];[7;8];[8;6];[8;9];[9;2];[9;7];[10;5];[10;10]]
12n_309,Y,12,3,10,[[1;6];[1;9];[2;8];[2;10];[3;4];[3;9];[4;2];[4;7];[5;1];[5;6];[6;5];[6;10];[7;4];[7;8];[8;3];[8;7];[9;2];[9;5];[10;1];[10;3]]
12n_318,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;9];[5;1];[5;8];[6;5];[6;10];[7;6];[7;9];[8;2];[8;7];[9;4];[9;8];[10;6];[10;10]]
12n_328,Y,12,4,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;6];[5;9];[6;1];[6;8];[7;5];[7;10];[8;2];[8;7];[9;4];[9;9];[10;6];[10;10]]
12n_340,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;3];[4;7];[5;6];[5;10];[6;5];[6;9];[7;1];[7;8];[8;7];[8;10];[9;4];[9;9];[10;2];[10;6]]
12n_356,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;6];[4;10];[5;3];[5;7];[6;5];[6;9];[7;1];[7;6];[8;4];[8;10];[9;2];[9;8];[10;7];[10;9]]
12n_370,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;5];[4;10];[5;6];[5;9];[6;3];[6;8];[7;1];[7;7];[8;6];[8;10];[9;4];[9;9];[10;2];[10;8]]
12n_371,Y,12,3,10,[[1;6];[1;10];[2;4];[2;8];[3;7];[3;9];[4;2];[4;8];[5;5];[5;10];[6;1];[6;6];[7;4];[7;9];[8;3];[8;7];[9;2];[9;5];[10;1];[10;3]]
12n_375,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;6];[4;10];[5;3];[5;8];[6;5];[6;9];[7;1];[7;7];[8;4];[8;10];[9;2];[9;8];[10;6];[10;9]]
12n_403,Y,12,3,10,[[1;4];[1;7];[2;2];[2;6];[3;5];[3;10];[4;3];[4;9];[5;1];[5;8];[6;7];[6;10];[7;6];[7;9];[8;4];[8;8];[9;2];[9;5];[10;1];[10;3]]
12n_407,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;10];[5;1];[5;9];[6;6];[6;10];[7;5];[7;8];[8;2];[8;7];[9;6];[9;9];[10;4];[10;8]]
12n_426,Y,12,4,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;1];[5;6];[6;5];[6;9];[7;2];[7;7];[8;8];[8;10];[9;4];[9;9];[10;6];[10;10]]
12n_438,Y,12,3,10,[[1;1];[1;4];[2;2];[2;5];[3;3];[3;6];[4;4];[4;9];[5;1];[5;7];[6;5];[6;10];[7;2];[7;8];[8;6];[8;9];[9;7];[9;10];[10;3];[10;8]]
12n_439,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;1];[5;6];[6;5];[6;10];[7;2];[7;7];[8;4];[8;9];[9;8];[9;10];[10;6];[10;9]]
12n_451,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;9];[5;6];[5;10];[6;1];[6;8];[7;5];[7;10];[8;2];[8;7];[9;6];[9;9];[10;4];[10;8]]
12n_462,Y,12,2,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;6];[4;4];[4;9];[5;1];[5;8];[6;7];[6;10];[7;5];[7;9];[8;2];[8;8];[9;6];[9;10];[10;4];[10;7]]
12n_475,Y,12,3,10,[[1;4];[1;8];[2;7];[2;10];[3;6];[3;9];[4;2];[4;8];[5;1];[5;7];[6;5];[6;10];[7;4];[7;9];[8;3];[8;6];[9;2];[9;5];[10;1];[10;3]]
12n_487,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;7];[4;5];[4;9];[5;6];[5;10];[6;3];[6;8];[7;1];[7;7];[8;4];[8;10];[9;6];[9;9];[10;2];[10;8]]
12n_488,Y,12,3,10,[[1;6];[1;10];[2;4];[2;8];[3;7];[3;9];[4;2];[4;8];[5;1];[5;6];[6;5];[6;10];[7;4];[7;9];[8;3];[8;7];[9;2];[9;5];[10;1];[10;3]]
12n_603,Y,12,4,10,[[1;2];[1;7];[2;4];[2;8];[3;6];[3;9];[4;7];[4;10];[5;1];[5;8];[6;5];[6;9];[7;3];[7;6];[8;4];[8;10];[9;2];[9;5];[10;1];[10;3]]
12n_706,Y,12,4,10,[[1;1];[1;4];[2;2];[2;5];[3;3];[3;8];[4;7];[4;10];[5;6];[5;9];[6;1];[6;8];[7;4];[7;10];[8;2];[8;7];[9;5];[9;9];[10;3];[10;6]]
12n_725,Y,12,5,10,[[1;1];[1;3];[2;2];[2;5];[3;3];[3;7];[4;4];[4;8];[5;5];[5;9];[6;1];[6;6];[7;2];[7;7];[8;8];[8;10];[9;4];[9;9];[10;6];[10;10]]
12n_730,Y,12,3,10,[[1;1];[1;3];[2;2];[2;5];[3;4];[3;8];[4;1];[4;7];[5;6];[5;9];[6;3];[6;8];[7;5];[7;10];[8;2];[8;7];[9;4];[9;9];[10;6];[10;10]]
12n_749,Y,12,3,10,[[1;4];[1;7];[2;5];[2;9];[3;6];[3;10];[4;2];[4;8];[5;1];[5;7];[6;6];[6;9];[7;4];[7;10];[8;3];[8;8];[9;2];[9;5];[10;1];[10;3]]
12n_768,Y,12,3,10,[[1;1];[1;4];[2;2];[2;5];[3;3];[3;7];[4;4];[4;10];[5;1];[5;6];[6;2];[6;8];[7;5];[7;9];[8;7];[8;10];[9;3];[9;8];[10;6];[10;9]]
12n_835,Y,12,3,10,[[1;1];[1;4];[2;2];[2;6];[3;3];[3;7];[4;4];[4;8];[5;5];[5;10];[6;1];[6;7];[7;3];[7;9];[8;6];[8;10];[9;2];[9;8];[10;5];[10;9]]
